unit,unit_title_en,lesson,lesson_title_en,can_do_en,new_words,review_words,chunks,grammar,pronunciation,conversation,activities
u00,Welcome & first steps,u00-l01,"Welcome, sound & your start",Test sound and find your starting point,0,0,0,,snd_short_vowels,,diagnostic
u01,"Hello, I'm Marta",u01-l01,"Hello, Endika",Greet and say your name and country,8,0,4,gr_be gr_questions_wh gr_articles,snd_short_vowels,dlg_endika_first,intro listen-choose icon-choice match grammar grammar grammar gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out expand conversation
u01,"Hello, I'm Marta",u01-l02,"He, she & numbers",Talk about other people and count,8,0,4,gr_pronouns,snd_long_vowels,,intro listen-choose icon-choice match spelling-build grammar gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u01,"Hello, I'm Marta",u01-l03,"Hello, I'm Marta · more (3)","Greet, introduce yourself, ask simple questions",8,0,4,,snd_short_vowels,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u01,"Hello, I'm Marta",u01-l04,"Hello, I'm Marta · more (4)","Greet, introduce yourself, ask simple questions",8,0,3,,snd_long_vowels,,intro listen-choose icon-choice match spelling-build gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u01,"Hello, I'm Marta",u01-l05,"Hello, I'm Marta · more (5)","Greet, introduce yourself, ask simple questions",8,0,0,,snd_short_vowels,,intro listen-choose icon-choice match spelling-build gapfill typed pron-record minimal-pair odd-one-out
u01,"Hello, I'm Marta",u01-l06,"Hello, I'm Marta · more (6)","Greet, introduce yourself, ask simple questions",8,0,0,,snd_long_vowels,,intro listen-choose icon-choice match spelling-build gapfill typed pron-record minimal-pair
u01,"Hello, I'm Marta",u01-l07,"Hello, I'm Marta · more (7)","Greet, introduce yourself, ask simple questions",7,0,0,,snd_short_vowels,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair
u02,My family,u02-l01,This is my family,Name family members,8,55,4,gr_possadj gr_poss_s gr_plural,snd_final_cons,,intro listen-choose icon-choice match grammar grammar grammar gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out review
u02,My family,u02-l02,Meeting Marlene,"Ask about family, meet someone new",8,0,4,gr_have,snd_s_endings,dlg_marlene_first,intro listen-choose icon-choice match grammar gapfill phrase-match reorder typed pron-record odd-one-out conversation
u02,My family,u02-l03,My family · more (3),Talk about family and who is who,8,0,1,,snd_final_cons,,intro listen-choose icon-choice match gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out
u02,My family,u02-l04,My family · more (4),Talk about family and who is who,8,0,0,,snd_s_endings,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u02,My family,u02-l05,My family · more (5),Talk about family and who is who,8,0,0,,snd_final_cons,,intro listen-choose icon-choice match gapfill typed pron-record minimal-pair odd-one-out
u02,My family,u02-l06,My family · more (6),Talk about family and who is who,5,0,0,,snd_s_endings,,intro listen-choose icon-choice match gapfill typed pron-record odd-one-out
u03,"People, countries & languages",u03-l01,Countries & languages,Say where people are from,8,45,4,gr_conjunctions,snd_wv,,intro listen-choose icon-choice match grammar gapfill phrase-match reorder typed pron-record minimal-pair odd-one-out review
